Date,spy
2020-09-30,332.37994384765625
2020-10-01,334.5137939453125
2020-10-02,331.3377990722656
2020-10-05,337.2134094238281
2020-10-06,332.41961669921875
2020-10-07,338.2059326171875
2020-10-08,341.2032775878906
2020-10-09,344.2502746582031
2020-10-12,349.7884521484375
2020-10-13,347.5057067871094
2020-10-14,345.3221740722656
2020-10-15,344.8954162597656
2020-10-16,344.6869812011719
2020-10-19,339.4465637207031
2020-10-20,340.8063049316406
2020-10-21,340.1611633300781
2020-10-22,342.0270690917969
2020-10-23,343.18829345703125
2020-10-26,336.8462219238281
2020-10-27,335.6849365234375
2020-10-28,324.21160888671875
2020-10-29,327.5067138671875
2020-10-30,324.0924987792969
2020-11-02,327.72509765625
2020-11-03,333.5113830566406
2020-11-04,340.965087890625
2020-11-05,347.6148681640625
