AnnReturn,AnnRisk,SharpeRatio,SortinoRatio,ReturnTraditional,ReturnSP500,RiskTraditional,RiskSP500,SharpeTraditional,SharpeSP500,SortinoTraditional,SortinoSP500,Date,TraditionalOnly,SP500Only,d1,d2,d3,d4,d5,d6
,,,,,,,,,,,,1.48936E+12,103.6997834,106.4922195,103.6997834,103.9347425,104.1697016,104.4046607,104.6396198,104.8745789
,,,,,,,,,,,,1.48945E+12,103.5049542,106.1374356,103.5049542,103.759963,104.0149719,104.2699808,104.5249897,104.7799985
,,,,,,,,,,,,1.48954E+12,104.2555094,107.029771,104.2555094,104.4998722,104.7442351,104.9885979,105.2329608,105.4773236
,,,,,,,,,,,,1.48962E+12,104.1300958,106.8596243,104.1300958,104.2678944,104.4056931,104.5434917,104.6812904,104.819089
,,,,,,,,,,,,1.48971E+12,104.0913198,106.7196272,104.0913198,104.1763278,104.2613358,104.3463438,104.4313518,104.5163598
,,,,,,,,,,,,1.4898E+12,104.0913198,106.7196272,104.0913198,104.1763278,104.2613358,104.3463438,104.4313518,104.5163598
,,,,,,,,,,,,1.48988E+12,104.0913198,106.7196272,104.0913198,104.1161709,104.1410219,104.165873,104.1907241,104.2155752
,,,,,,,,,,,,1.48997E+12,104.0332927,106.5081124,104.0332927,104.0436204,104.0539482,104.0642759,104.0746037,104.0849314
,,,,,,,,,,,,1.49005E+12,103.3324397,105.1960193,103.3324397,103.4281145,103.5237893,103.6194641,103.7151389,103.8108137
,,,,,,,,,,,,1.49014E+12,103.5362048,105.3986528,103.5362048,103.5424067,103.5486086,103.5548105,103.5610124,103.5672144
,,,,,,,,,,,,1.49023E+12,103.4303729,105.2881042,103.4303729,103.4687619,103.5071509,103.5455399,103.5839289,103.6223179
,,,,,,,,,,,,1.49031E+12,103.4191799,105.1990576,103.4191799,103.3763594,103.3335389,103.2907184,103.2478979,103.2050774
,,,,,,,,,,,,1.4904E+12,103.4191799,105.1990576,103.4191799,103.3763594,103.3335389,103.2907184,103.2478979,103.2050774
,,,,,,,,,,,,1.49049E+12,103.4191799,105.1990576,103.4191799,103.3909076,103.3626353,103.3343629,103.3060906,103.2778183
,,,,,,,,,,,,1.49057E+12,103.4093286,105.0920148,103.4093286,103.4337438,103.458159,103.4825742,103.5069894,103.5314046
,,,,,,,,,,,,1.49066E+12,103.7828918,105.8548705,103.7828918,103.8064431,103.8299944,103.8535457,103.8770969,103.9006482
,,,,,,,,,,,,1.49075E+12,103.9277647,105.9913618,103.9277647,103.9595623,103.9913599,104.0231575,104.0549551,104.0867527
,,,,,,,,,,,,1.49083E+12,104.0599667,106.3057125,104.0599667,104.0845452,104.1091237,104.1337022,104.1582807,104.1828593
,,,,,,,,,,,,1.49092E+12,103.9663867,106.0661516,103.9663867,104.0345894,104.102792,104.1709947,104.2391974,104.3074001
,,,,,,,,,,,,1.491E+12,103.9663867,106.0661516,103.9663867,104.0345894,104.102792,104.1709947,104.2391974,104.3074001
,,,,,,,,,,,,1.49109E+12,103.9663867,106.0661516,103.9663867,104.0707129,104.1750392,104.2793654,104.3836917,104.4880179
,,,,,,,,,,,,1.49118E+12,103.9713807,105.8971734,103.9713807,104.1244025,104.2774243,104.4304462,104.583468,104.7364898
,,,,,,,,,,,,1.49126E+12,104.0153964,105.9735992,104.0153964,104.1519294,104.2884623,104.4249953,104.5615282,104.6980612
,,,,,,,,,,,,1.49135E+12,103.8221729,105.6606508,103.8221729,103.9505644,104.078956,104.2073475,104.3357391,104.4641306
,,,,,,,,,,,,1.49144E+12,103.9927887,105.8960048,103.9927887,104.1934478,104.3941069,104.5947659,104.795425,104.9960841
,,,,,,,,,,,,1.49152E+12,103.8772475,105.808828,103.8772475,104.0788519,104.2804563,104.4820606,104.683665,104.8852694
,,,,,,,,,,,,1.49161E+12,103.8772475,105.808828,103.8772475,104.0788519,104.2804563,104.4820606,104.683665,104.8852694
,,,,,,,,,,,,1.4917E+12,103.8772475,105.808828,103.8772475,104.0902698,104.3032922,104.5163145,104.7293368,104.9423591
,,,,,,,,,,,,1.49178E+12,103.9571206,105.887591,103.9571206,104.161992,104.3668633,104.5717346,104.7766059,104.9814772
,,,,,,,,,,,,1.49187E+12,104.019736,105.7506322,104.019736,104.2507666,104.4817971,104.7128277,104.9438583,105.1748888
,,,,,,,,,,,,1.49196E+12,103.7857404,105.3544801,103.7857404,104.0095667,104.2333929,104.4572191,104.6810454,104.9048716
,,,,,,,,,,,,1.49204E+12,103.4828238,104.6371995,103.4828238,103.665441,103.8480582,104.0306754,104.2132926,104.3959098
,,,,,,,,,,,,1.49213E+12,103.4828238,104.6371995,103.4828238,103.6797056,103.8765873,104.0734691,104.2703508,104.4672326
,,,,,,,,,,,,1.49221E+12,103.4828238,104.6371995,103.4828238,103.6797056,103.8765873,104.0734691,104.2703508,104.4672326
,,,,,,,,,,,,1.4923E+12,103.4828238,104.6371995,103.4828238,103.6763128,103.8698017,104.0632906,104.2567796,104.4502685
,,,,,,,,,,,,1.49239E+12,103.9931215,105.5388837,103.9931215,104.1918581,104.3905948,104.5893314,104.7880681,104.9868047
,,,,,,,,,,,,1.49247E+12,103.956064,105.2352839,103.956064,104.1691075,104.382151,104.5951946,104.8082381,105.0212816
,,,,,,,,,,,,1.49256E+12,103.812903,105.0693441,103.812903,104.0294757,104.2460483,104.462621,104.6791936,104.8957663
,,,,,,,,,,,,1.49265E+12,104.2037193,105.8660889,104.2037193,104.4475867,104.6914542,104.9353216,105.1791891,105.4230565
,,,,,,,,,,,,1.49273E+12,104.028435,105.5447266,104.028435,104.2783627,104.5282904,104.7782181,105.0281458,105.2780734
,,,,,,,,,,,,1.49282E+12,104.028435,105.5447266,104.028435,104.2783627,104.5282904,104.7782181,105.0281458,105.2780734
,,,,,,,,,,,,1.49291E+12,104.028435,105.5447266,104.028435,104.2815245,104.5346139,104.7877033,105.0407927,105.2938821
,,,,,,,,,,,,1.49299E+12,104.6515636,106.6906461,104.6515636,104.9038765,105.1561894,105.4085023,105.6608151,105.913128
,,,,,,,,,,,,1.49308E+12,104.9259701,107.340616,104.9259701,105.1986317,105.4712933,105.743955,106.0166166,106.2892782
,,,,,,,,,,,,1.49316E+12,104.9345543,107.2896655,104.9345543,105.2212022,105.5078501,105.794498,106.0811459,106.3677938
,,,,,,,,,,,,1.49325E+12,105.0181892,107.3600146,105.0181892,105.3604461,105.7027029,106.0449597,106.3872166,106.7294734
,,,,,,,,,,,,1.49334E+12,104.9312053,107.1555113,104.9312053,105.2303395,105.5294738,105.8286081,106.1277423,106.4268766
,,,,,,,,,,,,1.49342E+12,104.9312053,107.1555113,104.9312053,105.2303395,105.5294738,105.8286081,106.1277423,106.4268766
,,,,,,,,,,,,1.49351E+12,104.9312053,107.1555113,104.9312053,105.2840365,105.6368676,105.9896988,106.34253,106.6953612
,,,,,,,,,,,,1.4936E+12,104.9543416,107.3415509,104.9543416,105.389198,105.8240545,106.2589109,106.6937674,107.1286239
,,,,,,,,,,,,1.49368E+12,105.1062113,107.4691609,105.1062113,105.5435311,105.9808509,106.4181707,106.8554905,107.2928104
,,,,,,,,,,,,1.49377E+12,105.0250945,107.3541716,105.0250945,105.5446978,106.0643011,106.5839044,107.1035077,107.623111
,,,,,,,,,,,,1.49386E+12,104.978198,107.4224173,104.978198,105.481993,105.985788,106.4895829,106.9933779,107.4971729
,,,,,,,,,,,,1.49394E+12,105.261902,107.8629758,105.261902,105.7897784,106.3176549,106.8455314,107.3734079,107.9012843
,,,,,,,,,,,,1.49403E+12,105.261902,107.8629758,105.261902,105.7897784,106.3176549,106.8455314,107.3734079,107.9012843
,,,,,,,,,,,,1.49412E+12,105.261902,107.8629758,105.261902,105.8177718,106.3736417,106.9295116,107.4853815,108.0412514
,,,,,,,,,,,,1.4942E+12,105.2359906,107.8779337,105.2359906,105.8983169,106.5606432,107.2229695,107.8852959,108.3646418
,,,,,,,,,,,,1.49429E+12,105.1189544,107.7722932,105.1189544,105.8396999,106.5604455,107.2811911,108.0019367,108.4388409
,,,,,,,,,,,,1.49437E+12,105.217046,107.9354284,105.217046,106.0035754,106.7901049,107.5766344,108.2556491,108.751747
,,,,,,,,,,,,1.49446E+12,105.1187244,107.7367681,105.1187244,105.9539837,106.789243,107.6245023,108.2787346,108.8190413
,,,,,,,,,,,,1.49455E+12,105.1722484,107.5794758,105.1722484,105.8735358,106.5748233,107.2761107,108.0228083,108.4420565
,,,,,,,,,,,,1.49463E+12,105.1722484,107.5794758,105.1722484,105.8735358,106.5748233,107.2761107,108.0228083,108.4420565
,,,,,,,,,,,,1.49472E+12,105.1722484,107.5794758,105.1722484,105.9770116,106.7817749,107.5865381,108.2713662,108.7840466
,,,,,,,,,,,,1.49481E+12,105.4932919,108.10651,105.4932919,106.2185419,106.9437918,107.6690418,108.3939465,108.8341606
,,,,,,,,,,,,1.49489E+12,105.490943,108.0539234,105.490943,106.2690082,107.0470734,107.8251386,108.5212235,109.0091358
,,,,,,,,,,,,1.49498E+12,104.5583343,106.1215427,104.5583343,105.4054287,106.2525231,107.0996174,107.7983922,108.3506174
,,,,,,,,,,,,1.49507E+12,104.7417312,106.5148902,104.7417312,105.6545447,106.5673583,107.4801718,108.1302661,108.7414404
