open,close,low,high,period
8289.9700000000000000,8292.4400000000000000,8173.0500000000000000,8500.0000000000000000,2019-09-30 17:00:00
8292.6700000000000000,8359.9400000000000000,8151.2200000000000000,8373.9100000000000000,2019-10-01 17:00:00
8360.0000000000000000,8223.9600000000000000,8060.0000000000000000,8393.0000000000000000,2019-10-02 17:00:00
8224.4300000000000000,8137.1300000000000000,8005.0000000000000000,8232.4100000000000000,2019-10-03 17:00:00
8137.0900000000000000,8126.1900000000000000,8012.9800000000000000,8183.4100000000000000,2019-10-04 17:00:00
8127.5500000000000000,7854.2500000000000000,7785.0000000000000000,8153.8700000000000000,2019-10-05 17:00:00
7855.3000000000000000,8190.0900000000000000,7762.0000000000000000,8299.9200000000000000,2019-10-06 17:00:00
8190.8200000000000000,8168.3900000000000000,8088.7500000000000000,8325.0000000000000000,2019-10-07 17:00:00
8170.7900000000000000,8560.7400000000000000,8115.0000000000000000,8670.0000000000000000,2019-10-08 17:00:00
8562.1500000000000000,8568.2400000000000000,8560.7700000000000000,8592.0000000000000000,2019-10-09 17:00:00
8293.2100000000000000,8159.2900000000000000,8090.0000000000000000,8360.0000000000000000,2019-10-14 17:00:00
8159.3000000000000000,7991.7400000000000000,7917.0000000000000000,8181.1600000000000000,2019-10-15 17:00:00
7995.0200000000000000,8070.5800000000000000,7929.0300000000000000,8124.9200000000000000,2019-10-16 17:00:00
8070.7100000000000000,7947.0100000000000000,7816.0100000000000000,8115.0000000000000000,2019-10-17 17:00:00
7946.8900000000000000,7948.0100000000000000,7866.9200000000000000,8098.1000000000000000,2019-10-18 17:00:00
7949.8700000000000000,8223.3500000000000000,7870.0000000000000000,8297.0000000000000000,2019-10-19 17:00:00
8223.3500000000000000,8197.2700000000000000,8142.0300000000000000,8333.0000000000000000,2019-10-20 17:00:00
8197.2800000000000000,8020.0000000000000000,8000.0000000000000000,8297.9900000000000000,2019-10-21 17:00:00
8020.0600000000000000,7466.6200000000000000,7300.0000000000000000,8047.5900000000000000,2019-10-22 17:00:00
7468.4800000000000000,7412.4100000000000000,7337.9900000000000000,7503.6800000000000000,2019-10-23 17:00:00
7412.4100000000000000,8655.0200000000000000,7361.0000000000000000,8799.0000000000000000,2019-10-24 17:00:00
8655.8800000000000000,9230.0000000000000000,8470.3800000000000000,10370.0000000000000000,2019-10-25 17:00:00
9230.0000000000000000,9529.9300000000000000,9074.3400000000000000,9794.9800000000000000,2019-10-26 17:00:00
9528.2300000000000000,9205.1400000000000000,9160.0000000000000000,9902.1000000000000000,2019-10-27 17:00:00
9204.4500000000000000,9407.6200000000000000,9072.0000000000000000,9550.0000000000000000,2019-10-28 17:00:00
9407.6200000000000000,9154.7200000000000000,9001.0100000000000000,9409.8400000000000000,2019-10-29 17:00:00
9154.0200000000000000,9140.8500000000000000,8913.0000000000000000,9405.0000000000000000,2019-10-30 17:00:00
9140.8600000000000000,9231.6100000000000000,9030.0000000000000000,9279.0000000000000000,2019-10-31 17:00:00
9231.4000000000000000,9289.5200000000000000,9186.2100000000000000,9373.7400000000000000,2019-11-01 17:00:00
9289.8500000000000000,9194.7100000000000000,9066.1400000000000000,9362.5700000000000000,2019-11-02 17:00:00
9196.4600000000000000,9393.3500000000000000,9115.8400000000000000,9513.6800000000000000,2019-11-03 16:00:00
9392.4000000000000000,9308.6600000000000000,9175.7600000000000000,9454.9500000000000000,2019-11-04 16:00:00
9307.7300000000000000,9339.0500000000000000,9250.0100000000000000,9440.9100000000000000,2019-11-05 16:00:00
9339.1600000000000000,9216.2000000000000000,9101.0000000000000000,9375.0000000000000000,2019-11-06 16:00:00
9214.0000000000000000,8773.7300000000000000,8696.0000000000000000,9261.0000000000000000,2019-11-07 16:00:00
8773.7400000000000000,8809.4100000000000000,8724.8800000000000000,8880.0000000000000000,2019-11-08 16:00:00
8809.1800000000000000,9039.4700000000000000,8750.0000000000000000,9147.1900000000000000,2019-11-09 16:00:00
9040.1600000000000000,8733.2700000000000000,8618.6800000000000000,9072.3200000000000000,2019-11-10 16:00:00
8733.3600000000000000,8821.9400000000000000,8567.6000000000000000,8888.0000000000000000,2019-11-11 16:00:00
8821.9100000000000000,8777.1200000000000000,8702.0000000000000000,8844.9900000000000000,2019-11-12 16:00:00
8777.5400000000000000,8646.6800000000000000,8582.6000000000000000,8800.0000000000000000,2019-11-13 16:00:00
8646.3800000000000000,8471.7300000000000000,8400.0000000000000000,8790.0000000000000000,2019-11-14 16:00:00
8471.6200000000000000,8491.0200000000000000,8400.0000000000000000,8543.0000000000000000,2019-11-15 16:00:00
8490.7400000000000000,8502.4000000000000000,8350.6800000000000000,8635.0000000000000000,2019-11-16 16:00:00
8502.8700000000000000,8186.4700000000000000,8060.0000000000000000,8503.5200000000000000,2019-11-17 16:00:00
8186.5000000000000000,8133.6400000000000000,8003.0000000000000000,8218.6300000000000000,2019-11-18 16:00:00
8133.8300000000000000,8098.0100000000000000,8038.4000000000000000,8264.2900000000000000,2019-11-19 16:00:00
8098.5600000000000000,7627.7400000000000000,7500.0000000000000000,8134.7300000000000000,2019-11-20 16:00:00
7628.0800000000000000,7268.2300000000000000,6790.0000000000000000,7750.0000000000000000,2019-11-21 16:00:00
7268.2300000000000000,7311.5700000000000000,7080.0100000000000000,7344.4800000000000000,2019-11-22 16:00:00
7311.1000000000000000,6903.2800000000000000,6861.0000000000000000,7330.3900000000000000,2019-11-23 16:00:00
6900.2300000000000000,7109.5700000000000000,6515.0000000000000000,7377.6900000000000000,2019-11-24 16:00:00
7109.9900000000000000,7156.1400000000000000,7017.4800000000000000,7340.0000000000000000,2019-11-25 16:00:00
7154.7500000000000000,7508.5200000000000000,6840.0000000000000000,7655.0000000000000000,2019-11-26 16:00:00
7507.9000000000000000,7419.4900000000000000,7360.0000000000000000,7643.0000000000000000,2019-11-27 16:00:00
7418.5200000000000000,7739.6800000000000000,7362.3000000000000000,7850.0000000000000000,2019-11-28 16:00:00
7740.9900000000000000,7541.8900000000000000,7441.0000000000000000,7810.0000000000000000,2019-11-29 16:00:00
7540.6300000000000000,7390.8900000000000000,7210.0000000000000000,7541.8500000000000000,2019-11-30 16:00:00
7391.5000000000000000,7294.2800000000000000,7151.1000000000000000,7420.5600000000000000,2019-12-01 16:00:00
7294.4200000000000000,7292.7100000000000000,7241.3500000000000000,7400.0000000000000000,2019-12-02 16:00:00
7292.7100000000000000,7194.3200000000000000,7067.0000000000000000,7750.0000000000000000,2019-12-03 16:00:00
7194.5900000000000000,7389.0000000000000000,7150.0000000000000000,7485.0000000000000000,2019-12-04 16:00:00
7389.0000000000000000,7527.4700000000000000,7305.0000000000000000,7590.0300000000000000,2019-12-05 16:00:00
7527.8000000000000000,7488.2100000000000000,7470.1600000000000000,7619.6200000000000000,2019-12-06 16:00:00
7487.3100000000000000,7510.1100000000000000,7374.8600000000000000,7564.0000000000000000,2019-12-07 16:00:00
7510.1100000000000000,7338.6400000000000000,7273.0000000000000000,7650.0000000000000000,2019-12-08 16:00:00
7338.6400000000000000,7224.1300000000000000,7157.1000000000000000,7407.6000000000000000,2019-12-09 16:00:00
7224.1500000000000000,7210.0000000000000000,7125.6600000000000000,7275.5000000000000000,2019-12-10 16:00:00
7210.0000000000000000,7198.0800000000000000,7080.3000000000000000,7295.0000000000000000,2019-12-11 16:00:00
7197.7600000000000000,7258.4800000000000000,7190.7600000000000000,7309.0500000000000000,2019-12-12 16:00:00
7257.3700000000000000,7064.0500000000000000,7012.0000000000000000,7271.7700000000000000,2019-12-13 16:00:00
7064.1400000000000000,7118.5900000000000000,7008.3500000000000000,7200.3000000000000000,2019-12-14 16:00:00
7119.6000000000000000,6891.7200000000000000,6836.0000000000000000,7150.0000000000000000,2019-12-15 16:00:00
6891.4400000000000000,6623.8200000000000000,6560.0000000000000000,6942.2100000000000000,2019-12-16 16:00:00
6623.8400000000000000,7277.8300000000000000,6435.0000000000000000,7440.0000000000000000,2019-12-17 16:00:00
7277.8300000000000000,7150.3000000000000000,7038.3100000000000000,7380.0000000000000000,2019-12-18 16:00:00
7151.3100000000000000,7187.8300000000000000,7079.5000000000000000,7220.0000000000000000,2019-12-19 16:00:00
7188.0100000000000000,7132.7500000000000000,7105.0000000000000000,7190.5800000000000000,2019-12-20 16:00:00
7131.5900000000000000,7501.4400000000000000,7122.4700000000000000,7518.5400000000000000,2019-12-21 16:00:00
7500.7100000000000000,7317.0900000000000000,7265.8400000000000000,7695.3800000000000000,2019-12-22 16:00:00
7317.3000000000000000,7255.7700000000000000,7157.0400000000000000,7436.6800000000000000,2019-12-23 16:00:00
7255.7700000000000000,7204.6300000000000000,7128.8600000000000000,7271.7700000000000000,2019-12-24 16:00:00
7205.0100000000000000,7202.0000000000000000,7157.1200000000000000,7435.0000000000000000,2019-12-25 16:00:00
7201.3800000000000000,7254.7400000000000000,7076.4200000000000000,7275.8600000000000000,2019-12-26 16:00:00
7254.7700000000000000,7316.1400000000000000,7238.6700000000000000,7365.0100000000000000,2019-12-27 16:00:00
7315.3600000000000000,7388.2400000000000000,7288.0000000000000000,7528.4500000000000000,2019-12-28 16:00:00
7388.4300000000000000,7246.0000000000000000,7220.0000000000000000,7408.2400000000000000,2019-12-29 16:00:00
7246.0000000000000000,7195.2300000000000000,7145.0100000000000000,7320.0000000000000000,2019-12-30 16:00:00
7195.2400000000000000,7200.8500000000000000,7175.1500000000000000,7255.0000000000000000,2019-12-31 16:00:00
7200.7700000000000000,6965.7100000000000000,6924.7400000000000000,7212.5000000000000000,2020-01-01 16:00:00
6965.4900000000000000,7344.9600000000000000,6871.0400000000000000,7405.0000000000000000,2020-01-02 16:00:00
7345.0000000000000000,7354.1100000000000000,7272.2100000000000000,7404.0000000000000000,2020-01-03 16:00:00
7354.1900000000000000,7358.7500000000000000,7318.0000000000000000,7495.0000000000000000,2020-01-04 16:00:00
7357.6400000000000000,7758.0000000000000000,7346.7600000000000000,7795.3400000000000000,2020-01-05 16:00:00
7758.9000000000000000,8145.2800000000000000,7723.7100000000000000,8207.6800000000000000,2020-01-06 16:00:00
